Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Int
1296,Valentino Lazaro,at AUT,DF,Torino,it Serie A,27-316,1996,14.5,6
1297,Darko Lazović,rs SRB,"FW,DF",Hellas Verona,it Serie A,33-141,1990,9.7,1
1298,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,30-066,1993,11.6,11
1299,Théo Le Bris,fr FRA,"MF,DF",Lorient,fr Ligue 1,21-125,2002,9.4,3
1300,Julien Le Cardinal,fr FRA,DF,Brest,fr Ligue 1,26-184,1997,2.2,7
1301,Julien Le Cardinal,fr FRA,DF,Lens,fr Ligue 1,26-184,1997,0.6,0
1302,Jérémy Le Douaron,fr FRA,FW,Brest,fr Ligue 1,25-288,1998,14,2
1303,Enzo Le Fée,fr FRA,MF,Rennes,fr Ligue 1,24-000,2000,12.9,14
1304,Vincent Le Goff,fr FRA,"DF,MF",Lorient,fr Ligue 1,34-111,1989,6,3
1305,Robin Le Normand,es ESP,DF,Real Sociedad,es La Liga,27-084,1996,17.5,20
1306,Nicola Leali,it ITA,GK,Genoa,it Serie A,30-351,1993,1,0
1307,Rafael Leão,pt POR,"FW,MF",Milan,it Serie A,24-238,1999,15.5,5
1308,Adrien Lebeau,fr FRA,"MF,FW",Brest,fr Ligue 1,24-210,1999,0.3,0
1309,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,32-283,1991,19,0
1310,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,30-355,1993,18.9,0
1311,Pierre Lees-Melou,fr FRA,MF,Brest,fr Ligue 1,30-254,1993,17.8,23
1312,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,25-011,1999,17.6,25
1313,Maxim Leitsch,de GER,DF,Mainz 05,de Bundesliga,25-261,1998,4.2,4
1314,Florian Lejeune,fr FRA,DF,Rayo Vallecano,es La Liga,32-259,1991,22,13
1315,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,30-275,1993,14.4,8
1316,Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,28-083,1995,1.8,0
1317,Mario Lemina,ga GAB,MF,Wolves,eng Premier League,30-155,1993,18.3,29
1318,Álvaro Lemos,es ESP,DF,Las Palmas,es La Liga,30-310,1993,2.2,2
1319,Clément Lenglet,fr FRA,DF,Aston Villa,eng Premier League,28-231,1995,4.7,3
1320,Bernd Leno,de GER,GK,Fulham,eng Premier League,31-336,1992,22,0
1321,Christopher Lenz,de GER,"DF,MF",RB Leipzig,de Bundesliga,29-134,1994,0.4,1
1322,Christopher Lenz,de GER,DF,Eint Frankfurt,de Bundesliga,29-134,1994,0.1,0
1323,Johann Lepenant,fr FRA,MF,Lyon,fr Ligue 1,21-104,2002,2.8,4
1324,Jefferson Lerma,co COL,MF,Crystal Palace,eng Premier League,29-101,1994,16.5,19
1325,Léo Leroy,fr FRA,MF,Montpellier,fr Ligue 1,23-354,2000,2,1
1326,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,35-166,1988,17.6,2
1327,Jamie Leweling,de GER,"FW,MF",Stuttgart,de Bundesliga,22-342,2001,8.5,1
1328,Rico Lewis,eng ENG,"MF,DF",Manchester City,eng Premier League,19-074,2004,5,4
1329,Keane Lewis-Potter,eng ENG,"FW,DF",Brentford,eng Premier League,22-346,2001,8.4,3
1330,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,27-207,1996,13.7,13
1331,Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,24-175,1999,7.1,8
1332,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,29-201,1994,10,8
1333,Jesper Lindstrøm,dk DEN,"FW,MF",Napoli,it Serie A,23-339,2000,2.6,2
1334,Jesper Lindstrøm,dk DEN,FW,Eint Frankfurt,de Bundesliga,23-339,2000,0.9,0
1335,Karol Linetty,pl POL,MF,Torino,it Serie A,29-001,1995,9.5,12
1336,Samuel Lino,br BRA,DF,Atlético Madrid,es La Liga,24-042,1999,11.6,8
1337,Luca Lipani,it ITA,MF,Sassuolo,it Serie A,18-261,2005,0.1,0
1338,Pol Lirola,es ESP,"DF,MF",Frosinone,it Serie A,26-174,1997,5.1,7
1339,Marcin Listkowski,pl POL,FW,Lecce,it Serie A,25-358,1998,0.1,0
1340,Valentino Livramento,eng ENG,DF,Newcastle Utd,eng Premier League,21-083,2002,8,14
1341,Dejan Ljubicic,at AUT,"MF,FW",Köln,de Bundesliga,26-118,1997,13.8,10
1342,Javier Llabrés,es ESP,"MF,FW",Mallorca,es La Liga,21-145,2002,1.8,1
1343,Diego Llorente,es ESP,DF,Roma,it Serie A,30-171,1993,17,15
1344,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,es La Liga,29-004,1995,15.6,9
1345,Gautier Lloris,fr FRA,DF,Le Havre,fr Ligue 1,28-200,1995,17.9,23
1346,Abou Lô,sn SEN,DF,Metz,fr Ligue 1,24-032,2000,0.8,0
1347,Giovani Lo Celso,ar ARG,MF,Tottenham,eng Premier League,27-300,1996,4.6,4
1348,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,29-070,1994,19.7,10
1349,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,26-026,1998,18.8,14
1350,Bradley Locko,fr FRA,DF,Brest,fr Ligue 1,21-273,2002,18.9,22
1351,Tom Lockyer,wls WAL,DF,Luton Town,eng Premier League,29-062,1994,13,23
1352,Renan Lodi,br BRA,DF,Marseille,fr Ligue 1,25-301,1998,13.7,16
1353,Ruben Loftus-Cheek,eng ENG,MF,Milan,it Serie A,28-011,1996,13.3,4
1354,Andy Logbo,fr FRA,FW,Le Havre,fr Ligue 1,19-273,2004,2.8,0
1355,Enzo Loiodice,fr FRA,MF,Las Palmas,es La Liga,23-068,2000,12.7,9
1356,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,26-096,1997,15.1,7
1357,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,26-106,1997,12.3,4
1358,Noah Loosli,ch SUI,"DF,MF",Bochum,de Bundesliga,27-011,1997,2.8,4
1359,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,33-125,1990,16,0
1360,David López,es ESP,"DF,MF",Girona,es La Liga,34-117,1989,13.2,14
1361,Diego López,es ESP,"FW,MF",Valencia,es La Liga,21-266,2002,17.8,10
1362,Fermin López,es ESP,"MF,FW",Barcelona,es La Liga,20-268,2003,6.6,2
1363,Javi López,es ESP,"DF,MF",Alavés,es La Liga,22-033,2002,14,3
1364,Maxime Lopez,fr FRA,MF,Fiorentina,it Serie A,26-061,1997,4.1,2
1365,Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,26-061,1997,1.6,2
1366,Pau López,es ESP,GK,Marseille,fr Ligue 1,29-052,1994,18.7,0
1367,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,28-096,1995,13.1,6
1368,Dion Lopy,sn SEN,MF,Almería,es La Liga,22-001,2002,16.1,11
1369,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,37-330,1986,16.4,17
1370,Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,25-127,1998,10.3,7
1371,Tom Louchet,fr FRA,"FW,MF",Nice,fr Ligue 1,20-275,2003,0.6,0
1372,Imran Louza,ma MAR,MF,Lorient,fr Ligue 1,24-278,1999,1,0
1373,Matteo Lovato,it ITA,DF,Salernitana,it Serie A,23-354,2000,10.5,18
1374,Dejan Lovren,hr CRO,DF,Lyon,fr Ligue 1,34-213,1989,8,12
1375,Sandi Lovrić,si SVN,MF,Udinese,it Serie A,25-312,1998,14.2,12
1376,Max Lowe,eng ENG,"DF,MF",Sheffield Utd,eng Premier League,26-268,1997,3.5,5
1377,Anthony Lozano,hn HON,"MF,FW",Getafe,es La Liga,30-284,1993,1,0
1378,Lucas,br BRA,DF,Cádiz,es La Liga,22-316,2001,10.7,10
1379,Lorenzo Lucca,it ITA,FW,Udinese,it Serie A,23-146,2000,15.1,2
1380,Jhon Lucumí,co COL,DF,Bologna,it Serie A,25-222,1998,10.1,1
1381,José Luis Gayà,es ESP,DF,Valencia,es La Liga,28-254,1995,14,7
1382,José Luis Morales,es ESP,"FW,MF",Villarreal,es La Liga,36-195,1987,8.7,4
1383,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,34-029,1990,0.3,1
1384,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,25-270,1998,20.4,15
1385,Romelu Lukaku,be BEL,FW,Roma,it Serie A,30-266,1993,18.1,0
1386,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,21-048,2002,13,6
1387,Dodi Lukebakio,be BEL,FW,Sevilla,es La Liga,26-132,1997,8.2,2
1388,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,27-174,1996,4.4,4
1389,Karlo Lulić,hr CRO,MF,Frosinone,it Serie A,27-269,1996,0.2,1
1390,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,24-357,1999,10,0
1391,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,27-150,1996,22,14
1392,Mateus Lusuardi,br BRA,DF,Frosinone,it Serie A,20-026,2004,2.4,4
1393,Zito Luvumbo,ao ANG,"FW,MF",Cagliari,it Serie A,21-331,2002,12.2,0
1394,Charalambos Lykogiannis,gr GRE,DF,Bologna,it Serie A,30-104,1993,7.4,5
1395,Senne Lynen,be BEL,MF,Werder Bremen,de Bundesliga,24-349,1999,7,16
1396,Ian Maatsen,nl NED,"FW,MF",Chelsea,eng Premier League,21-330,2002,2.3,3
1397,Ian Maatsen,nl NED,DF,Dortmund,de Bundesliga,21-330,2002,4,7
1398,Alexis Mac Allister,ar ARG,MF,Liverpool,eng Premier League,25-041,1998,14.2,21
1399,Deiver Machado,co COL,DF,Lens,fr Ligue 1,30-154,1993,7,4
1400,Darwin Machís,ve VEN,MF,Cádiz,es La Liga,30-361,1993,8,3
1401,James Maddison,eng ENG,MF,Tottenham,eng Premier League,27-072,1996,10.8,6
1402,Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,21-330,2002,3.4,1
1403,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,26-206,1997,12.5,8
1404,Soungoutou Magassa,fr FRA,DF,Monaco,fr Ligue 1,20-118,2003,12.4,19
1405,Giulio Maggiore,it ITA,MF,Salernitana,it Serie A,25-328,1998,11.1,15
1406,Matej Maglica,hr CRO,DF,Darmstadt 98,de Bundesliga,25-131,1998,9.8,14
1407,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,28-122,1995,16.5,26
1408,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,25-249,1998,14.3,9
1409,Yohann Magnin,fr FRA,MF,Clermont Foot,fr Ligue 1,26-227,1997,9.6,9
1410,Frank Magri,cm CMR,"FW,MF",Toulouse,fr Ligue 1,24-152,1999,10.8,2
1411,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,30-335,1993,9.4,13
1412,Jon Magunacelaya,es ESP,"FW,MF",Real Sociedad,es La Liga,23-205,2000,1.2,0
1413,Adel Mahamoud,km COM,FW,Nantes,fr Ligue 1,20-364,2003,0.1,0
1414,Arne Maier,de GER,"MF,DF",Augsburg,de Bundesliga,25-026,1999,1.3,1
1415,Habib Maïga,ci CIV,"MF,FW",Metz,fr Ligue 1,28-033,1996,1.6,4
1416,Mike Maignan,fr FRA,GK,Milan,it Serie A,28-215,1995,19,0
1417,Linton Maina,de GER,"FW,MF",Köln,de Bundesliga,24-225,1999,12.8,5
1418,Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,29-089,1994,20,27
1419,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,18-290,2005,7,8
1420,Ainsley Maitland-Niles,eng ENG,"MF,DF",Lyon,fr Ligue 1,26-158,1997,5,6
1421,Lovro Majer,hr CRO,MF,Rennes,fr Ligue 1,26-017,1998,0.2,0
1422,Lovro Majer,hr CRO,"MF,FW",Wolfsburg,de Bundesliga,26-017,1998,14.7,4
1423,Jean-Victor Makengo,fr FRA,"MF,FW",Lorient,fr Ligue 1,25-236,1998,5.3,8
1424,Jordy Makengo,fr FRA,DF,Freiburg,de Bundesliga,22-184,2001,6.2,7
1425,Antoine Makoumbou,cg CGO,MF,Cagliari,it Serie A,25-200,1998,18.7,9
1426,Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,29-008,1995,21.8,31
1427,Julián Malatini,ar ARG,DF,Werder Bremen,de Bundesliga,22-248,2001,0,0
1428,Daniel Maldini,it ITA,MF,Monza,it Serie A,22-115,2001,0.2,0
1429,Daniel Maldini,it ITA,"FW,MF",Empoli,it Serie A,22-115,2001,2.9,2
1430,Youssef Maleh,ma MAR,MF,Empoli,it Serie A,25-165,1998,16.7,14
1431,Donyell Malen,nl NED,"FW,MF",Dortmund,de Bundesliga,25-025,1999,14.4,2
1432,Ruslan Malinovskyi,ua UKR,"MF,FW",Genoa,it Serie A,30-275,1993,13.6,2
1433,Lennard Maloney,us USA,MF,Heidenheim,de Bundesliga,24-118,1999,18.6,23
1434,Aaron Malouda,fr FRA,FW,Lille,fr Ligue 1,18-065,2005,0,0
1435,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,23-127,2000,22,0
1436,David Mamutovic,de GER,DF,Mainz 05,de Bundesliga,23-060,2000,0.1,0
1437,Wilson Manafá,pt POR,"DF,MF",Granada,es La Liga,29-195,1994,2.7,1
1438,Hianga Mananga Mbock,fr FRA,"MF,FW",Brest,fr Ligue 1,24-037,1999,0.1,1
1439,Gianluca Mancini,it ITA,DF,Roma,it Serie A,27-292,1996,19.4,24
1440,Marco Mancosu,it ITA,"MF,FW",Cagliari,it Serie A,35-165,1988,1.7,0
1441,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,38-312,1985,19,0
1442,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,es La Liga,30-013,1994,2.2,3
1443,Aïssa Mandi,dz ALG,DF,Villarreal,es La Liga,32-104,1991,7.4,6
1444,Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,26-219,1997,9.3,5
1445,Orel Mangala,be BEL,MF,Nott'ham Forest,eng Premier League,25-322,1998,17.4,26
1446,Braydon Manu,gh GHA,MF,Darmstadt 98,de Bundesliga,26-312,1997,0.9,0
1447,Benson Manuel,be BEL,"MF,FW",Burnley,eng Premier League,26-312,1997,0.8,0
1448,Faitout Maouassa,fr FRA,DF,Granada,es La Liga,25-212,1998,0,0
1449,Faitout Maouassa,fr FRA,"MF,DF",Lens,fr Ligue 1,25-212,1998,0.8,0
1450,Marcão,br BRA,DF,Sevilla,es La Liga,27-243,1996,2.4,2
1451,Solly March,eng ENG,"FW,DF",Brighton,eng Premier League,29-198,1994,6.2,11
1452,Riccardo Marchizza,it ITA,DF,Frosinone,it Serie A,25-314,1998,12.8,7
1453,Gian Marco Ferrari,it ITA,DF,Sassuolo,it Serie A,31-353,1992,11.2,12
1454,Óscar de Marcos,es ESP,DF,Athletic Club,es La Liga,34-295,1989,14.9,8
1455,Alberto Marí,es ESP,FW,Valencia,es La Liga,22-207,2001,0.3,0
1456,José Mari,es ESP,"MF,FW",Cádiz,es La Liga,36-059,1987,0.2,0
1457,Pablo Marí,es ESP,DF,Monza,it Serie A,30-156,1993,13.5,14
1458,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,29-014,1995,8,8
1459,Mariano,do DOM,FW,Sevilla,es La Liga,30-186,1993,2.4,0
1460,Mirko Marić,hr CRO,FW,Monza,it Serie A,28-263,1995,3.2,2
1461,Rafa Marín,es ESP,DF,Alavés,es La Liga,21-260,2002,15.1,13
1462,Răzvan Marin,ro ROU,MF,Empoli,it Serie A,27-256,1996,10.1,2
1463,Diego Mariño,es ESP,GK,Almería,es La Liga,33-270,1990,1,0
1464,Guillermo Maripán,cl CHI,DF,Monaco,fr Ligue 1,29-273,1994,11.1,16
1465,Mika Màrmol,es ESP,DF,Las Palmas,es La Liga,21-216,2002,19.5,20
1466,Omar Marmoush,eg EGY,"FW,MF",Eint Frankfurt,de Bundesliga,24-361,1999,12,6
1467,Marquinhos,br BRA,"FW,MF",Nantes,fr Ligue 1,20-302,2003,1.7,6
1468,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,29-265,1994,13.6,16
1469,Unai Marrero,es ESP,GK,Real Sociedad,es La Liga,22-117,2001,1.6,0
1470,Agustín Martegani,ar ARG,MF,Salernitana,it Serie A,23-259,2000,7.6,4
1471,Eric Martel,de GER,MF,Köln,de Bundesliga,21-280,2002,15.4,20
1472,Roger Martí,es ESP,FW,Cádiz,es La Liga,33-031,1991,11.6,6
1473,Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,28-060,1995,5,0
1474,Aarón Martín,es ESP,DF,Genoa,it Serie A,26-287,1997,6,4
1475,Iván Martín,es ESP,"MF,FW",Girona,es La Liga,24-354,1999,17.6,9
1476,Jonas Martin,fr FRA,MF,Brest,fr Ligue 1,33-300,1990,6.5,1
1477,Gabriel Martinelli,br BRA,FW,Arsenal,eng Premier League,22-230,2001,15.4,4
1478,Arnau Martinez,es ESP,DF,Girona,es La Liga,20-284,2003,10.2,10
1479,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,31-154,1992,21,0
1480,Iñigo Martínez,es ESP,DF,Barcelona,es La Liga,32-262,1991,6,6
1481,Josep Martinez,es ESP,GK,Genoa,it Serie A,25-252,1998,21,0
1482,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,26-165,1997,17.7,16
1483,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,26-016,1998,5.4,4
1484,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,27-269,1996,16.6,23
1485,Adam Marušić,me MNE,DF,Lazio,it Serie A,31-109,1992,19.5,21
1486,Marvin,es ESP,"FW,MF",Las Palmas,es La Liga,23-215,2000,8.6,6
1487,Omar Mascarell,es ESP,MF,Mallorca,es La Liga,31-001,1993,9,16
1488,Adam Masina,ma MAR,DF,Udinese,it Serie A,30-032,1994,0.7,2
1489,Erhan Mašović,rs SRB,DF,Bochum,de Bundesliga,25-073,1998,15.4,14
1490,Han-Noah Massengo,fr FRA,MF,Burnley,eng Premier League,22-211,2001,0.1,0
1491,Roberto Massimo,de GER,"FW,DF",Stuttgart,de Bundesliga,23-114,2000,0.9,0
1492,Clinton Mata,ao ANG,DF,Lyon,fr Ligue 1,31-088,1992,13.7,22
1493,Jaime Mata,es ESP,"MF,FW",Getafe,es La Liga,35-102,1988,9.5,10
1494,Pape Matar Sarr,sn SEN,MF,Tottenham,eng Premier League,21-142,2002,13,12
1495,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,21-353,2002,1.1,3
1496,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,26-220,1997,11,2
1497,Nemanja Matić,rs SRB,MF,Rennes,fr Ligue 1,35-186,1988,11.4,27
1498,Joël Matip,cm CMR,DF,Liverpool,eng Premier League,32-179,1991,8.7,9
1499,Alex Matos,eng ENG,MF,Chelsea,eng Premier League,19-123,2004,0,0
1500,Chrislain Matsima,fr FRA,DF,Monaco,fr Ligue 1,21-264,2002,3.3,4
1501,Remi Matthews,eng ENG,GK,Crystal Palace,eng Premier League,29-358,1994,0,0
1502,Alan Matturro,uy URU,DF,Genoa,it Serie A,19-115,2004,1,2
1503,Azor Matusiwa,nl NED,MF,Reims,fr Ligue 1,25-281,1998,15.4,33
1504,Azor Matusiwa,nl NED,MF,Rennes,fr Ligue 1,25-281,1998,0.3,0
1505,Neal Maupay,fr FRA,FW,Brentford,eng Premier League,27-173,1996,9.5,2
1506,Neal Maupay,fr FRA,FW,Everton,eng Premier League,27-173,1996,1.2,0
1507,Aïman Maurer,ma MAR,"MF,FW",Clermont Foot,fr Ligue 1,19-131,2004,0.6,0
1508,Konstantinos Mavropanos,gr GRE,DF,West Ham,eng Premier League,26-054,1997,7.5,13
1509,Christian Mawissa,fr FRA,DF,Toulouse,fr Ligue 1,18-291,2005,3.3,4
1510,Philipp Max,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,30-126,1993,9.4,4
1511,Eric Maxim Choupo-Moting,cm CMR,"MF,FW",Bayern Munich,de Bundesliga,34-317,1989,3.8,2
1512,Luís Maximiano,pt POR,GK,Almería,es La Liga,25-029,1999,19,0
1513,Noam Mayoka-Tika,be BEL,MF,Marseille,fr Ligue 1,20-093,2003,0,0
1514,Borja Mayoral,es ESP,FW,Getafe,es La Liga,26-304,1997,19.6,2
1515,Youssef Maziz,fr FRA,"FW,MF",Metz,fr Ligue 1,25-224,1998,1.4,1
1516,Noussair Mazraoui,ma MAR,DF,Bayern Munich,de Bundesliga,26-081,1997,9.1,13
1517,Luca Mazzitelli,it ITA,MF,Frosinone,it Serie A,28-080,1995,12.6,7
1518,Pasquale Mazzocchi,it ITA,DF,Salernitana,it Serie A,28-191,1995,14.1,5
1519,Pasquale Mazzocchi,it ITA,"DF,MF",Napoli,it Serie A,28-191,1995,0.2,0
1520,Kevin Mbabu,ch SUI,DF,Augsburg,de Bundesliga,28-290,1995,10.9,13
1521,Noah Mbamba,be BEL,MF,Leverkusen,de Bundesliga,19-029,2005,0.2,1
1522,Ethan Mbappé,fr FRA,MF,Paris S-G,fr Ligue 1,17-036,2006,0,0
1523,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,25-045,1998,17.8,2
1524,Malick Mbaye,sn SEN,"MF,FW",Metz,fr Ligue 1,19-303,2004,1.7,1
1525,Mamadou Mbaye,sn SEN,DF,Cádiz,es La Liga,25-220,1998,3.2,5
1526,Chancel Mbemba,cd COD,DF,Marseille,fr Ligue 1,29-179,1994,16,11
1527,Nolan Mbemba,cg CGO,MF,Le Havre,fr Ligue 1,28-349,1995,0.2,0
1528,Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,24-180,1999,14.3,5
1529,Jordi Mboula,es ESP,"FW,MF",Hellas Verona,it Serie A,24-324,1999,3.4,1
1530,Nathanael Mbuku,fr FRA,FW,Augsburg,de Bundesliga,21-324,2002,0.1,0
1531,James Mcatee,eng ENG,MF,Sheffield Utd,eng Premier League,21-108,2002,13.2,7
1532,James Mcatee,eng ENG,MF,Manchester City,eng Premier League,21-108,2002,0,0
1533,Oliver McBurnie,sct SCO,FW,Sheffield Utd,eng Premier League,27-244,1996,8.7,3
1534,James McConnell,eng ENG,MF,Liverpool,eng Premier League,19-143,2004,0,1
1535,John McGinn,sct SCO,"MF,FW",Aston Villa,eng Premier League,29-108,1994,20.9,13
1536,Scott McKenna,sct SCO,DF,Nott'ham Forest,eng Premier League,27-083,1996,4.6,5
1537,Weston McKennie,us USA,"MF,FW",Juventus,it Serie A,25-159,1998,18.8,15
1538,Dwight McNeil,eng ENG,"MF,FW",Everton,eng Premier League,24-073,1999,16.5,12
1539,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,27-057,1996,12.9,10
1540,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,24-251,1999,16.2,13
1541,Ben Mee,eng ENG,DF,Brentford,eng Premier League,34-135,1989,9.5,9
1542,Marvin Mehlem,de GER,MF,Darmstadt 98,de Bundesliga,26-145,1997,10.8,24
1543,Abdoul Meité,fr FRA,MF,Marseille,fr Ligue 1,22-062,2001,2,6
1544,Bamo Meïté,ci CIV,DF,Marseille,fr Ligue 1,22-228,2001,1,1
1545,Bamo Meïté,ci CIV,DF,Lorient,fr Ligue 1,22-228,2001,1.6,3
1546,Hannibal Mejbri,tn TUN,"MF,FW",Manchester Utd,eng Premier League,21-013,2003,1.5,0
1547,Hannibal Mejbri,tn TUN,MF,Sevilla,es La Liga,21-013,2003,0.3,0
1548,Óscar Melendo,es ESP,"MF,FW",Granada,es La Liga,26-164,1997,9.1,4
1549,Gonzalo Melero,es ESP,"MF,FW",Almería,es La Liga,30-032,1994,8.8,3
1550,Birger Meling,no NOR,DF,Rennes,fr Ligue 1,29-048,1994,0.2,0
1551,Arthur Melo,br BRA,MF,Fiorentina,it Serie A,27-175,1996,15.3,12
1552,Memphis,nl NED,FW,Atlético Madrid,es La Liga,29-355,1994,4.8,1
1553,Houboulang Mendes,gw GNB,DF,Almería,es La Liga,25-275,1998,4.4,1
1554,Tomás Mendes,es ESP,MF,Alavés,es La Liga,19-074,2004,0.1,0
1555,Brais Méndez,es ESP,"MF,FW",Real Sociedad,es La Liga,27-027,1997,17.9,7
1556,Bruno Méndez,uy URU,DF,Granada,es La Liga,24-146,1999,3.9,4
1557,Diego Méndez,es ESP,MF,Rayo Vallecano,es La Liga,20-158,2003,0.1,1
1558,Antoine Mendy,fr FRA,DF,Nice,fr Ligue 1,19-252,2004,1,2
1559,Benjamin Mendy,fr FRA,"DF,FW",Lorient,fr Ligue 1,29-201,1994,4,4
1560,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,28-240,1995,9.5,11
1561,Formose Mendy,sn SEN,DF,Lorient,fr Ligue 1,23-032,2001,8.5,14
1562,Nampalys Mendy,sn SEN,MF,Lens,fr Ligue 1,31-225,1992,2.7,4
1563,Teden Mengi,eng ENG,DF,Luton Town,eng Premier League,21-279,2002,13.6,31
1564,Chris Mepham,wls WAL,DF,Bournemouth,eng Premier League,26-090,1997,3,4
1565,Jorge Meré,es ESP,DF,Cádiz,es La Liga,26-292,1997,3.6,4
1566,Alex Meret,it ITA,GK,Napoli,it Serie A,26-318,1997,15.8,0
1567,Mikel Merino,es ESP,MF,Real Sociedad,es La Liga,27-226,1996,15.2,8
1568,Quentin Merlin,fr FRA,DF,Nantes,fr Ligue 1,21-263,2002,14.3,18
1569,Junior Messias,br BRA,"DF,MF",Genoa,it Serie A,32-266,1991,4.8,2
1570,Thomas Meunier,be BEL,DF,Dortmund,de Bundesliga,32-144,1991,6.5,4
1571,Bastien Meupiyou,fr FRA,DF,Nantes,fr Ligue 1,17-321,2006,0.1,0
1572,Alexander Meyer,de GER,GK,Dortmund,de Bundesliga,32-296,1991,2.7,0
1573,Omenuke Mfulu,cd COD,"MF,FW",Las Palmas,es La Liga,29-320,1994,0.9,2
1574,Sven Michel,de GER,"FW,MF",Augsburg,de Bundesliga,33-203,1990,5.1,0
1575,Miguel,es ESP,"FW,MF",Alavés,es La Liga,24-153,1999,0.7,0
1576,Georges Mikautadze,ge GEO,FW,Metz,fr Ligue 1,23-095,2000,4.8,2
1577,Nikola Milenković,rs SRB,DF,Fiorentina,it Serie A,26-114,1997,16.1,11
1578,Lewis Miley,eng ENG,MF,Newcastle Utd,eng Premier League,17-278,2006,9.1,5
1579,Arkadiusz Milik,pl POL,FW,Juventus,it Serie A,29-340,1994,6.3,2
1580,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,26-348,1997,20,1
1581,Éder Militão,br BRA,DF,Real Madrid,es La Liga,26-016,1998,0.5,0
1582,Luis Milla,es ESP,MF,Getafe,es La Liga,29-119,1994,9,12
1583,Enzo Millot,fr FRA,"MF,FW",Stuttgart,de Bundesliga,21-201,2002,14.3,8
1584,James Milner,eng ENG,"DF,MF",Brighton,eng Premier League,38-030,1986,8.6,8
1585,Jovan Milošević,rs SRB,"FW,MF",Stuttgart,de Bundesliga,18-187,2005,0.3,0
1586,Marko Milovanović,rs SRB,FW,Almería,es La Liga,20-183,2003,2,0
1587,Kim Min-jae,kr KOR,DF,Bayern Munich,de Bundesliga,27-080,1996,14.6,31
1588,Yerry Mina,co COL,"DF,MF",Fiorentina,it Serie A,29-133,1994,0.5,0
1589,Takumi Minamino,jp JPN,MF,Monaco,fr Ligue 1,29-018,1995,12.2,6
1590,Lucas Mincarelli,fr FRA,"DF,MF",Montpellier,fr Ligue 1,20-029,2004,4.2,4
